,station_code,station_actual,station_new,Zone,State,Name,Longitude,Latitude
0,VNG,Visnagar,Visnagar Gujarat,Western Railway,Gujarat,"Visnagar, Gujarat 384315, India",72.5425606,23.7023775
0,MVI,MORBI,MORBI Gujarat,Western Railway,Gujarat,"Morbi, Gujarat, India",70.8490809,22.8251874
0,AJNI,Ajni,Ajni Maharashtra,Central Railway,Maharashtra,"Ajni, Nagpur, Maharashtra, India",79.0837231,21.1187899
0,KIAT,KYATSANDRA,KYATSANDRA Karnataka,South Western Railway,Karnataka,"Indira Nagar, Kyathasandra, Karnataka 572104, India",77.1460219,13.3141606
0,JAMA,JAMA,JAMA Jharkhand,Eastern Railway,Jharkhand,"Jama, Jharkhand, India",87.26432,24.3660316
0,DEO,Junnor Deo,Junnor Deo Uttar Pradesh,North Eastern Railway,Uttar Pradesh,"Uttar Pradesh, India",80.0981869,27.5705886
0,LTRR,Latur Road,Latur Road Maharashtra,South Central Railway,Maharashtra,"Latur Road, Maharashtra 413513, India",76.844708,18.5089404
0,LONI,Loni,Loni Maharashtra,Central Railway,Maharashtra,"Loni, Maharashtra 413204, India",75.4082506,18.6558243
0,NRN,NARHAN,NARHAN Bihar,East Central Railway,Bihar,"Narhan, Bihar, India",86.0045031,25.6882212
0,REWA,Rewa,Rewa Madhya Pradesh,West Central Railway,Madhya Pradesh,"Rewa, Madhya Pradesh, India",81.3036946,24.5362477
0,JTS,Jatusana,Jatusana Haryana,North Western Railway,Haryana,"Jatusana, Haryana 123401, India",76.5392541,28.3322737
0,LGT,Langting,Langting Assam,North Frontier Railway,Assam,"Langting, Assam 788832, India",93.1157587,25.5000414
0,SVPR,Srivilliputtur,Srivilliputtur Tamil Nadu,Southern Railway,Tamil Nadu,"Srivilliputhur, Tamil Nadu 626125, India",77.6340213,9.5121171
0,TRS,Tarsarai,Tarsarai Bihar,East Central Railway,Bihar,"Tarsarai, Muria, Bihar 847115, India",86.0134056,26.194081
